	lu_code_2	description_2	lu_group	irrigation_table_notes	mean_plant_height	variable_rooting_depth	kcb_ini	kcb_mid	kcb_end	kcb_min	first_day_of_growing_season	last_day_of_growing_season	planting_date	planting_date__mmdd	l_ini	l_dev	l_mid	l_late	l_fallow	irrigation_length	na	minimum_fraction_vegetative_cover	rew_1	rew_2	rew_3	rew_4	rew_5	rew_6	rew_7	tew_1	tew_2	tew_3	tew_4	tew_5	tew_6	tew_7	depletion_fraction	gdd_base	gdd_max	mad	irrigation_start	irrigation_end	application_amount	fraction_irrigation_from_gw	application_scheme	irrigation_application_efficiency
0	1	Corn	0	81054	7.0	varying	0.15	1.15	0.5	0.1	139	275.0	125	05/04	30.0	35.0	40.0	45.0	1	125	DOY	0.0	0.12	0.23	0.31	0.35	0.12	0.23	0.31	0.28	0.6	0.86	0.94	0.28	0.6	0.86	0.55	50	130	0.55	05/04	10/01	0.5	1	field_capacity	1
1	2	Cotton	0	0	4.5	varying	0.15	1.1	0.5	0.1	135	316.0	121	04/30	30.0	50.0	60.0	55.0	1	195	DOY	0.0	0.12	0.23	0.31	0.35	0.12	0.23	0.31	0.28	0.6	0.86	0.94	0.28	0.6	0.86	0.65	60	130	0.65	04/30	11/11	0.0	1	field_capacity	1
2	3	Rice	0	0	3.3	varying	1.0	1.15	0.6	0.1	149	285.0	135	05/14	30.0	30.0	60.0	30.0	1	150	DOY	0.0	0.12	0.23	0.31	0.35	0.12	0.23	0.31	0.28	0.6	0.86	0.94	0.28	0.6	0.86	0.2	50	130	0.2	05/14	10/11	0.0	1	field_capacity	1
3	4	Sorghum	0	5	5.0	varying	0.15	1.0	0.35	0.1	144	255.0	130	05/09	20.0	35.0	40.0	30.0	1	125	DOY	0.0	0.12	0.23	0.31	0.35	0.12	0.23	0.31	0.28	0.6	0.86	0.94	0.28	0.6	0.86	0.55	50	130	0.55	05/09	09/11	0.0	1	field_capacity	1
4	5	Soybeans	0	46540	2.5	varying	0.15	1.1	0.3	0.1	144	280.0	130	05/09	20.0	30.0	80.0	20.0	1	135	DOY	0.0	0.12	0.23	0.31	0.35	0.12	0.23	0.31	0.28	0.6	0.86	0.94	0.28	0.6	0.86	0.5	50	130	0.5	05/09	10/06	0.5	1	field_capacity	1
5	6	Sunflower	0	48	7.0	varying	0.15	1.15	0.5	0.1	144	280.0	130	05/09	30.0	35.0	40.0	45.0	1	125	DOY	0.0	0.12	0.23	0.31	0.35	0.12	0.23	0.31	0.28	0.6	0.86	0.94	0.28	0.6	0.86	0.55	50	130	0.55	05/04	10/01	0.5	1	field_capacity	1
6	10	Peanuts	0	0	2.0	varying	0.15	1.1	0.5	0.1	149	275.0	135	05/14	35.0	35.0	35.0	35.0	1	140	DOY	0.0	0.12	0.23	0.31	0.35	0.12	0.23	0.31	0.28	0.6	0.86	0.94	0.28	0.6	0.86	0.5	50	130	0.5	05/14	10/01	0.5	1	field_capacity	1
7	11	Tobacco	0	0	4.5	varying	0.5	1.1	0.8	0.1	166	262.0	152	05/31	20.0	30.0	30.0	30.0	1	110	DOY	0.0	0.12	0.23	0.31	0.35	0.12	0.23	0.31	0.28	0.6	0.86	0.94	0.28	0.6	0.86	0.4	50	130	0.4	05/31	09/18	0.5	1	field_capacity	1
8	12	Sweet Corn	0	68	7.0	varying	0.15	1.15	0.5	0.1	139	275.0	125	05/04	30.0	35.0	40.0	45.0	1	125	DOY	0.0	0.12	0.23	0.31	0.35	0.12	0.23	0.31	0.28	0.6	0.86	0.94	0.28	0.6	0.86	0.5	50	130	0.5	05/04	10/01	0.5	1	field_capacity	1
9	13	Pop or Orn Corn	0	0	7.0	varying	0.15	1.15	0.5	0.1	139	275.0	125	05/04	30.0	35.0	40.0	45.0	1	125	DOY	0.0	0.12	0.23	0.31	0.35	0.12	0.23	0.31	0.28	0.6	0.86	0.94	0.28	0.6	0.86	0.55	50	130	0.55	05/04	10/01	0.5	1	field_capacity	1
