	lu_code	description	cn_1	cn_2	cn_3	cn_4	cn_5	cn_6	cn_7	max_net_infil_1	max_net_infil_2	max_net_infil_3	max_net_infil_4	max_net_infil_5	max_net_infil_6	max_net_infil_7	growing_season_interception_a	growing_season_interception_b	growing_season_interception_n	nongrowing_season_interception_a	nongrowing_season_interception_b	nongrowing_season_interception_n	rz_1	rz_2	rz_3	rz_4	rz_5	rz_6	rz_7
0	1	Corn	67.0	79.474	86.437	89.176	67.0	79.474	86.437	5.0	0.75	0.3	0.15	5.0	0.75	0.3	0.0800000000000000016653345369377348	0	1	0.0	0	1	1.5	1.875	1.5	0.999	1.5	1.875	1.5
1	2	Cotton	71	80	87	90	71	80	87	4	0.6	0.24	0.12	4	0.6	0.24	0.08	0	1	0.0	0	1	1.5	1.875	1.5	0.9975	1.5	1.875	1.5
2	3	Rice	71	80	87	90	71	80	87	4	0.6	0.24	0.12	4	0.6	0.24	0.08	0	1	0.0	0	1	1.5	1.875	1.5	0.9975	1.5	1.875	1.5
3	4	Sorghum	72	81	88	91	72	81	88	4	0.6	0.24	0.12	4	0.6	0.24	0.08	0	1	0.0	0	1	1.5	1.875	1.5	0.9975	1.5	1.875	1.5
4	5	Soybeans	67.0	79.474	86.437	89.176	67.0	79.474	86.437	5.0	0.75	0.3	0.15	5.0	0.75	0.3	0.08000000000000000166533453693773481	0	1	0.0	0	1	1.5	1.875	1.5	0.999	1.5	1.875	1.5
5	6	Sunflower	67	78	85	91	67	78	85	4	0.6	0.24	0.12	4	0.6	0.24	0.08	0	1	0.0	0	1	1.5	1.875	1.5	0.9975	1.5	1.875	1.5
6	10	Peanuts	67	78	85	91	67	78	85	4	0.6	0.24	0.12	4	0.6	0.24	0.08	0	1	0.0	0	1	1.5	1.875	1.5	0.9975	1.5	1.875	1.5
7	11	Tobacco	67	78	85	91	67	78	85	4	0.6	0.24	0.12	4	0.6	0.24	0.08	0	1	0.0	0	1	1.5	1.875	1.5	0.9975	1.5	1.875	1.5
8	12	Sweet Corn	67	78	85	89	67	78	85	4	0.6	0.24	0.12	4	0.6	0.24	0.08	0	1	0.0	0	1	1.5	1.875	1.5	0.9975	1.5	1.875	1.5
9	13	Pop or Orn Corn	67	78	85	89	67	78	85	4	0.6	0.24	0.12	4	0.6	0.24	0.08	0	1	0.0	0	1	1.5	1.875	1.5	0.9975	1.5	1.875	1.5
10	14	Mint	67	78	85	91	67	78	85	4	0.6	0.24	0.12	4	0.6	0.24	0.08	0	1	0.0	0	1	1.5	1.875	1.5	0.9975	1.5	1.875	1.5
11	21	Barley	65.0	78.23	85.615	88.52	65.0	78.23	85.615	5.0	0.75	0.3	0.15	5.0	0.75	0.3	0.08000000000000000166533453693773481	0	1	0.0	0	1	1.5	1.875	1.5	0.999	1.5	1.875	1.5
12	22	Durham Wheat	65.0	78.23	85.615	88.52	65.0	78.23	85.615	5.0	0.75	0.3	0.15	5.0	0.75	0.3	0.08000000000000000166533453693773481	0	1	0.0	0	1	1.5	1.875	1.5	0.999	1.5	1.875	1.5
13	23	Spring Wheat	65.0	78.23	85.615	88.52	65.0	78.23	85.615	5.0	0.75	0.3	0.15	5.0	0.75	0.3	0.08000000000000000166533453693773481	0	1	0.0	0	1	1.5	1.875	1.5	0.999	1.5	1.875	1.5
14	24	Winter Wheat	65.0	78.23	85.615	88.52	65.0	78.23	85.615	5.0	0.75	0.3	0.15	5.0	0.75	0.3	0.08000000000000000166533453693773481	0	1	0.0	0	1	1.5	1.875	1.5	0.999	1.5	1.875	1.5
15	25	Other Small Grains	65.0	78.23	85.615	88.52	65.0	78.23	85.615	5.0	0.75	0.3	0.15	5.0	0.75	0.3	0.08000000000000000166533453693773481	0	1	0.0	0	1	1.5	1.875	1.5	0.999	1.5	1.875	1.5
16	26	Dbl Crop WinWht/Soybeans	65.0	78.23	85.615	88.52	65.0	78.23	85.615	5.0	0.75	0.3	0.15	5.0	0.75	0.3	0.08000000000000000166533453693773481	0	1	0.0	0	1	1.5	1.875	1.5	0.999	1.5	1.875	1.5
17	27	Rye	65.0	78.23	85.615	88.52	65.0	78.23	85.615	5.0	0.75	0.3	0.15	5.0	0.75	0.3	0.08000000000000000166533453693773481	0	1	0.0	0	1	1.5	1.875	1.5	0.999	1.5	1.875	1.5
18	28	Oats	65.0	78.23	85.615	88.52	65.0	78.23	85.615	5.0	0.75	0.3	0.15	5.0	0.75	0.3	0.08000000000000000166533453693773481	0	1	0.0	0	1	1.5	1.875	1.5	0.999	1.5	1.875	1.5
19	29	Millet	65.0	78.23	85.615	88.52	65.0	78.23	85.615	5.0	0.75	0.3	0.15	5.0	0.75	0.3	0.08000000000000000166533453693773481	0	1	0.0	0	1	1.5	1.875	1.5	0.999	1.5	1.875	1.5
